ID;Nome;Idade;Cidade
681;Nome680;51;Cidade84
682;Nome681;47;Cidade51
683;Nome682;51;Cidade75
684;Nome683;26;Cidade80
685;Nome684;28;Cidade99
686;Nome685;39;Cidade47
687;Nome686;40;Cidade52
688;Nome687;44;Cidade80
689;Nome688;41;Cidade14
690;Nome689;19;Cidade57
691;Nome690;36;Cidade56
692;Nome691;36;Cidade7
693;Nome692;66;Cidade88
694;Nome693;27;Cidade8
695;Nome694;47;Cidade2
696;Nome695;52;Cidade94
697;Nome696;47;Cidade4
698;Nome697;55;Cidade93
699;Nome698;41;Cidade82
700;Nome699;67;Cidade41
701;Nome700;27;Cidade23
702;Nome701;52;Cidade99
703;Nome702;30;Cidade82
704;Nome703;45;Cidade92
705;Nome704;37;Cidade46
706;Nome705;46;Cidade12
707;Nome706;32;Cidade26
708;Nome707;51;Cidade42
709;Nome708;39;Cidade91
710;Nome709;25;Cidade44
711;Nome710;39;Cidade71
712;Nome711;60;Cidade13
713;Nome712;58;Cidade21
714;Nome713;28;Cidade16
715;Nome714;32;Cidade12
716;Nome715;54;Cidade56
717;Nome716;49;Cidade74
718;Nome717;67;Cidade95
719;Nome718;68;Cidade6
720;Nome719;25;Cidade96
721;Nome720;39;Cidade59
722;Nome721;38;Cidade74
723;Nome722;38;Cidade28
724;Nome723;53;Cidade96
725;Nome724;20;Cidade25
726;Nome725;55;Cidade85
727;Nome726;68;Cidade85
728;Nome727;62;Cidade42
729;Nome728;36;Cidade51
730;Nome729;40;Cidade72
731;Nome730;19;Cidade69
732;Nome731;46;Cidade77
733;Nome732;42;Cidade15
734;Nome733;28;Cidade19
735;Nome734;51;Cidade72
736;Nome735;23;Cidade60
737;Nome736;34;Cidade91
738;Nome737;26;Cidade80
739;Nome738;60;Cidade1
740;Nome739;39;Cidade74
741;Nome740;30;Cidade31
742;Nome741;60;Cidade21
743;Nome742;69;Cidade79
744;Nome743;44;Cidade92
745;Nome744;65;Cidade22
746;Nome745;45;Cidade5
747;Nome746;21;Cidade40
748;Nome747;35;Cidade38
749;Nome748;42;Cidade20
750;Nome749;69;Cidade5
751;Nome750;24;Cidade24
752;Nome751;35;Cidade17
753;Nome752;32;Cidade35
754;Nome753;54;Cidade28
755;Nome754;24;Cidade75
756;Nome755;33;Cidade83
757;Nome756;31;Cidade80
758;Nome757;48;Cidade39
759;Nome758;61;Cidade37
760;Nome759;63;Cidade20
761;Nome760;54;Cidade12
762;Nome761;68;Cidade51
763;Nome762;59;Cidade34
764;Nome763;34;Cidade99
765;Nome764;57;Cidade40
766;Nome765;27;Cidade41
767;Nome766;35;Cidade48
768;Nome767;40;Cidade18
769;Nome768;20;Cidade38
770;Nome769;40;Cidade30
771;Nome770;38;Cidade66
772;Nome771;21;Cidade40
773;Nome772;51;Cidade2
774;Nome773;67;Cidade56
775;Nome774;68;Cidade19
776;Nome775;53;Cidade54
777;Nome776;37;Cidade20
778;Nome777;50;Cidade3
779;Nome778;58;Cidade63
780;Nome779;60;Cidade3
781;Nome780;52;Cidade36
782;Nome781;61;Cidade50
783;Nome782;39;Cidade37
784;Nome783;18;Cidade97
785;Nome784;42;Cidade97
786;Nome785;37;Cidade65
787;Nome786;47;Cidade48
788;Nome787;27;Cidade47
789;Nome788;60;Cidade5
790;Nome789;61;Cidade26
791;Nome790;22;Cidade12
792;Nome791;68;Cidade89
793;Nome792;21;Cidade44
794;Nome793;51;Cidade26
795;Nome794;28;Cidade65
796;Nome795;49;Cidade17
797;Nome796;55;Cidade80
798;Nome797;69;Cidade37
799;Nome798;24;Cidade27
800;Nome799;56;Cidade59
801;Nome800;47;Cidade20
802;Nome801;42;Cidade58
803;Nome802;18;Cidade72
804;Nome803;34;Cidade29
805;Nome804;52;Cidade81
806;Nome805;63;Cidade62
807;Nome806;45;Cidade42
808;Nome807;30;Cidade72
809;Nome808;42;Cidade2
810;Nome809;34;Cidade96
811;Nome810;37;Cidade5
812;Nome811;66;Cidade62
813;Nome812;25;Cidade91
814;Nome813;55;Cidade94
815;Nome814;28;Cidade28
816;Nome815;28;Cidade58
817;Nome816;68;Cidade42
818;Nome817;65;Cidade89
819;Nome818;30;Cidade28
820;Nome819;28;Cidade82
821;Nome820;54;Cidade93
822;Nome821;27;Cidade49
823;Nome822;37;Cidade9
824;Nome823;32;Cidade8
825;Nome824;22;Cidade13
826;Nome825;59;Cidade96
827;Nome826;61;Cidade4
828;Nome827;35;Cidade79
829;Nome828;42;Cidade87
830;Nome829;55;Cidade93
831;Nome830;25;Cidade67
832;Nome831;32;Cidade90
833;Nome832;31;Cidade75
834;Nome833;47;Cidade81
835;Nome834;37;Cidade86
836;Nome835;27;Cidade10
837;Nome836;20;Cidade66
838;Nome837;49;Cidade81
839;Nome838;56;Cidade82
840;Nome839;68;Cidade73
841;Nome840;38;Cidade80
842;Nome841;56;Cidade60
843;Nome842;37;Cidade69
844;Nome843;49;Cidade57
845;Nome844;59;Cidade84
846;Nome845;23;Cidade79
847;Nome846;61;Cidade91
848;Nome847;69;Cidade26
849;Nome848;67;Cidade95
850;Nome849;25;Cidade69
851;Nome850;60;Cidade5
852;Nome851;28;Cidade73
853;Nome852;61;Cidade54
854;Nome853;57;Cidade1
855;Nome854;63;Cidade28
856;Nome855;29;Cidade1
857;Nome856;68;Cidade36
858;Nome857;56;Cidade29
859;Nome858;22;Cidade85
860;Nome859;36;Cidade80
861;Nome860;52;Cidade54
862;Nome861;42;Cidade53
863;Nome862;42;Cidade78
864;Nome863;22;Cidade97
865;Nome864;18;Cidade85
866;Nome865;65;Cidade66
867;Nome866;29;Cidade74
868;Nome867;63;Cidade5
869;Nome868;63;Cidade88
870;Nome869;52;Cidade79
871;Nome870;33;Cidade5
872;Nome871;24;Cidade64
873;Nome872;26;Cidade49
874;Nome873;43;Cidade25
875;Nome874;48;Cidade77
876;Nome875;31;Cidade65
877;Nome876;51;Cidade35
878;Nome877;27;Cidade93
879;Nome878;33;Cidade63
880;Nome879;40;Cidade91
881;Nome880;30;Cidade71
882;Nome881;68;Cidade73
883;Nome882;47;Cidade26
884;Nome883;24;Cidade63
885;Nome884;33;Cidade44
886;Nome885;44;Cidade45
887;Nome886;42;Cidade14
888;Nome887;18;Cidade70
889;Nome888;68;Cidade36
890;Nome889;41;Cidade89
891;Nome890;45;Cidade85
892;Nome891;48;Cidade91
893;Nome892;59;Cidade50
894;Nome893;67;Cidade87
895;Nome894;64;Cidade59
896;Nome895;39;Cidade91
897;Nome896;26;Cidade98
898;Nome897;24;Cidade69
899;Nome898;53;Cidade70
900;Nome899;42;Cidade97
901;Nome900;23;Cidade70
902;Nome901;27;Cidade4
903;Nome902;53;Cidade44
904;Nome903;32;Cidade42
905;Nome904;57;Cidade78
906;Nome905;21;Cidade49
907;Nome906;48;Cidade98
908;Nome907;32;Cidade5
909;Nome908;32;Cidade58
910;Nome909;43;Cidade21
911;Nome910;39;Cidade33
912;Nome911;31;Cidade93
913;Nome912;20;Cidade91
914;Nome913;61;Cidade31
915;Nome914;25;Cidade10
916;Nome915;30;Cidade71
917;Nome916;24;Cidade18
918;Nome917;47;Cidade89
919;Nome918;30;Cidade12
920;Nome919;44;Cidade1
921;Nome920;66;Cidade69
922;Nome921;53;Cidade61
923;Nome922;26;Cidade24
924;Nome923;33;Cidade75
925;Nome924;41;Cidade33
926;Nome925;30;Cidade28
927;Nome926;68;Cidade46
928;Nome927;52;Cidade54
929;Nome928;65;Cidade46
930;Nome929;41;Cidade80
931;Nome930;43;Cidade89
